category,question,answer,score
Cloud Computing,What is Cloud Computing?,Cloud computing is the delivery of computing services over the internet.,1.0
Cloud Computing,What is Cloud Computing?,Cloud computing provides computing resources via the internet.,0.8
Cloud Computing,What is Cloud Computing?,It is a type of local storage.,0.0
Cloud Computing,What are the main types of cloud computing?,"Public, Private, and Hybrid clouds.",1.0
Cloud Computing,What are the main types of cloud computing?,It allows remote access to computing services.,0.8
Cloud Computing,What are the main types of cloud computing?,Only involves physical servers.,0.0
Cloud Computing,What is IaaS?,Infrastructure as a Service provides virtualized computing resources.,1.0
Cloud Computing,What is IaaS?,A method of utilizing virtual computing infrastructure online.,0.8
Cloud Computing,What is IaaS?,It is an operating system.,0.0
Cloud Computing,What is PaaS?,Platform as a Service offers a development environment on the cloud.,1.0
Cloud Computing,What is PaaS?,Cloud computing provides computing resources via the internet.,0.8
Cloud Computing,What is PaaS?,It is a type of local storage.,0.0
Cloud Computing,What is SaaS?,Software as a Service provides applications over the internet.,1.0
Cloud Computing,What is SaaS?,It allows remote access to computing services.,0.8
Cloud Computing,What is SaaS?,Only involves physical servers.,0.0
Cloud Computing,What is a cloud service provider?,"A company offering cloud computing services, e.g., AWS, Azure, GCP.",1.0
Cloud Computing,What is a cloud service provider?,A method of utilizing virtual computing infrastructure online.,0.8
Cloud Computing,What is a cloud service provider?,It is an operating system.,0.0
Cloud Computing,What is cloud storage?,Storing data remotely on the internet rather than local devices.,1.0
Cloud Computing,What is cloud storage?,Cloud computing provides computing resources via the internet.,0.8
Cloud Computing,What is cloud storage?,It is a type of local storage.,0.0
Cloud Computing,What is serverless computing?,A cloud computing model where the provider manages the infrastructure.,1.0
Cloud Computing,What is serverless computing?,It allows remote access to computing services.,0.8
Cloud Computing,What is serverless computing?,Only involves physical servers.,0.0
Cloud Computing,What is virtualization in cloud computing?,The creation of virtual machines for efficient resource utilization.,1.0
Cloud Computing,What is virtualization in cloud computing?,A method of utilizing virtual computing infrastructure online.,0.8
Cloud Computing,What is virtualization in cloud computing?,It is an operating system.,0.0
Cloud Computing,What is the difference between private and public clouds?,Private clouds are used by a single organization; public clouds are shared.,1.0
Cloud Computing,What is the difference between private and public clouds?,Cloud computing provides computing resources via the internet.,0.8
Cloud Computing,What is the difference between private and public clouds?,It is a type of local storage.,0.0
Cloud Computing,What is a hybrid cloud?,A combination of private and public clouds for flexibility.,1.0
Cloud Computing,What is a hybrid cloud?,It allows remote access to computing services.,0.8
Cloud Computing,What is a hybrid cloud?,Only involves physical servers.,0.0
Cloud Computing,What is multi-cloud?,Using multiple cloud service providers for redundancy.,1.0
Cloud Computing,What is multi-cloud?,A method of utilizing virtual computing infrastructure online.,0.8
Cloud Computing,What is multi-cloud?,It is an operating system.,0.0
Cloud Computing,What is edge computing?,Processing data closer to the source rather than relying on centralized cloud servers.,1.0
Cloud Computing,What is edge computing?,Cloud computing provides computing resources via the internet.,0.8
Cloud Computing,What is edge computing?,It is a type of local storage.,0.0
Cloud Computing,What is cloud elasticity?,The ability to automatically scale computing resources up or down.,1.0
Cloud Computing,What is cloud elasticity?,It allows remote access to computing services.,0.8
Cloud Computing,What is cloud elasticity?,Only involves physical servers.,0.0
Cloud Computing,What is a cloud-native application?,An application designed to run in a cloud environment.,1.0
Cloud Computing,What is a cloud-native application?,A method of utilizing virtual computing infrastructure online.,0.8
Cloud Computing,What is a cloud-native application?,It is an operating system.,0.0
Cloud Computing,What is cloud security?,"Protecting cloud data, applications, and infrastructure from threats.",1.0
Cloud Computing,What is cloud security?,Cloud computing provides computing resources via the internet.,0.8
Cloud Computing,What is cloud security?,It is a type of local storage.,0.0
Cloud Computing,What are containers in cloud computing?,"Lightweight, portable environments for running applications.",1.0
Cloud Computing,What are containers in cloud computing?,It allows remote access to computing services.,0.8
Cloud Computing,What are containers in cloud computing?,Only involves physical servers.,0.0
